word,count,mean,std,min,max
westmoreland,5,1.8622,1.4267082953428147,0.37,4.533
rennies,2,2.5775,1.4255,1.152,4.003
dorimont,2,1.4480000000000002,1.4250000000000003,0.023,2.873
bradley,4,1.4912500000000002,1.4188404376461785,0.312,3.897
quadrupeds,3,1.853,1.417576335393148,0.591,3.833
staged,2,1.6145,1.4125,0.202,3.027
regretfully,7,1.9727142857142859,1.4067986671147787,0.217,5.018
sylvester,4,2.39675,1.4056406679873772,0.435,4.41
unpolished,3,2.1726666666666667,1.4055950894747589,0.209,3.422
defiantly,12,1.8149166666666667,1.4006680821625404,0.296,5.852
maimed,3,1.5203333333333333,1.3991036019140575,0.478,3.498
cube,4,1.48075,1.3966941997087265,0.429,3.876
joys,17,1.7906470588235295,1.3949090605474006,0.268,6.384
catalogued,2,3.0655,1.3945,1.671,4.46
jocapa,4,2.9414999999999996,1.3923082453250069,1.774,5.191
betters,3,1.601,1.3869400371561371,0.061,3.423
anastatia,2,2.1955,1.3855,0.81,3.581
ikon,2,1.746,1.3849999999999998,0.361,3.131
mohicans,4,2.0462499999999997,1.384229817443621,0.867,4.388
internationalists,3,1.9433333333333334,1.3830809408306113,0.45,3.784
assassinate,3,1.8416666666666666,1.3818647626385956,0.443,3.723
zoophyte,2,1.735,1.3810000000000002,0.354,3.116
notched,4,1.59725,1.3806834132052141,0.193,3.684
niecks,4,1.37625,1.3784433929255129,0.0,2.981
perversity,5,1.8474,1.3778398455553533,0.433,4.034
armand,15,1.2671333333333332,1.376995612032063,0.041,5.57
magnets,3,1.3286666666666667,1.3764762580186005,0.223,3.269
hummer,2,1.563,1.376,0.187,2.939
isaac,12,2.0613333333333337,1.375279628132241,0.231,5.401
reposing,5,1.4718,1.3746576882991635,0.339,4.078
rivaled,2,1.722,1.374,0.348,3.096
persecutor,2,1.6515,1.3735,0.278,3.025
connivance,4,2.47775,1.3720634779411627,1.158,4.752
stanzas,2,1.599,1.372,0.227,2.971
deserter,4,2.5025,1.3636952555464874,1.291,4.739
javelins,2,2.3255,1.3605,0.965,3.686
discussions,8,1.980875,1.3603352011085355,0.691,5.197
typewriter,8,1.8226249999999997,1.357581667663128,0.13,4.696
firemens,2,2.176,1.357,0.819,3.533
bracky,2,1.688,1.3559999999999999,0.332,3.044
emerge,9,1.537,1.3551473884579655,0.413,5.252
ho,16,2.732625,1.3533134741718196,0.236,6.242
refers,5,2.2884,1.3529957280050813,0.557,4.417
costs,21,2.072857142857143,1.3529325216592532,0.121,4.462
divorcement,2,2.2625,1.3515,0.911,3.614
boolooroo,27,1.9244074074074073,1.3497893185195882,0.0,3.863
mandy,2,1.4245,1.3495,0.075,2.774
shrieked,25,1.3754400000000002,1.3494844076164791,0.0,4.438
smacks,3,1.577,1.349284501751453,0.341,3.454
melbury,19,1.5540526315789474,1.3477585475496248,0.015,4.492
housing,4,2.04425,1.3470006263918366,0.456,4.131
brawling,3,2.6246666666666667,1.3459916625133885,0.811,4.032
bi,3,2.005333333333333,1.3459054779424726,0.105,3.049
fortifications,12,1.9406666666666668,1.3458146438330783,0.223,5.655
staterooms,3,1.7469999999999999,1.3449825277675542,0.69,3.645
grognon,19,2.800684210526316,1.343902998247292,0.159,5.269
rashleigh,4,1.2182499999999998,1.3433576171295563,0.124,3.445
colbert,11,1.7807272727272727,1.3430418047314083,0.22,5.011
alethia,5,1.6598,1.342415643532211,0.485,4.038
noort,8,2.487125,1.3418643222677173,0.841,4.671
turnscrews,2,2.45,1.341,1.109,3.791
litigation,2,1.5105,1.3405,0.17,2.851
migration,4,1.47825,1.3380275361516294,0.583,3.792
pulkovo,2,1.338,1.338,0.0,2.676
bessel,2,2.8564999999999996,1.3364999999999998,1.52,4.193
calumny,3,1.711,1.3319176651229858,0.389,3.534
hal,5,2.0216000000000003,1.3283102950741594,0.313,4.073
shouldering,3,2.1220000000000003,1.3275149716669865,0.322,3.484
polychrome,9,1.2517777777777779,1.3273231020682004,0.154,3.84
balloon,29,1.6558965517241377,1.326309641509298,0.207,5.906
behoof,2,2.035,1.325,0.71,3.36
electoral,5,1.6364,1.324980694198976,0.382,3.836
extravagances,2,1.8995000000000002,1.3245000000000002,0.575,3.224
gores,2,1.7995,1.3245,0.475,3.124
unconfined,2,1.7040000000000002,1.3230000000000002,0.381,3.027
pelleas,9,1.747,1.321023929466163,0.177,4.053
bobby,14,1.8190000000000002,1.3202447824984145,0.024,5.425
remotest,3,2.5803333333333334,1.319691967426069,0.904,4.129
gondis,2,2.7615,1.3185,1.443,4.08
surfeited,3,1.2713333333333332,1.3172955460167455,0.074,3.106
casino,4,1.236,1.3170195518670178,0.011,3.426
cromer,3,1.7746666666666666,1.3164478299153706,0.181,3.405
olbers,7,2.094142857142857,1.3151982391119847,0.018,3.962
commissioners,13,1.4137692307692307,1.3146422826613129,0.16,5.027
semele,2,1.9545,1.3135,0.641,3.268
oogaboo,7,1.6201428571428573,1.3129836718135453,0.022,3.72
philetus,4,1.0155,1.312343990728041,0.093,3.273
smolensk,2,1.708,1.3119999999999998,0.396,3.02
justus,4,1.4255,1.3109932303410268,0.525,3.688
markenheim,2,1.3555,1.3105,0.045,2.666
ills,10,1.9483000000000001,1.3102235725249336,0.165,4.716
broaden,2,2.684,1.31,1.374,3.994
sourly,4,2.032,1.3098039929699403,0.709,3.502
crowbar,5,2.0118,1.3049029695728338,0.592,4.163
coastguard,3,1.5993333333333333,1.304115622004259,0.107,3.284
sidewalks,3,1.8636666666666664,1.3035751693792814,0.649,3.672
voyages,10,1.748,1.3018817150570938,0.102,4.963
carcase,4,1.87425,1.3001810210505305,0.582,3.721
treasurer,5,2.0040000000000004,1.2996896552639017,0.41,4.379
hogs,8,1.569,1.2996425470105233,0.265,4.168
awed,7,1.3437142857142856,1.2993103351158164,0.19,3.597
preobrazhensk,3,2.0126666666666666,1.2991823924641561,1.021,3.848
berulle,7,1.998,1.2985726229760342,0.394,3.529
partitions,3,1.8623333333333332,1.2980902211411278,0.677,3.669
brewster,2,2.032,1.2970000000000002,0.735,3.329
rambler,4,1.1677500000000003,1.2961702000509039,0.19,3.361
hughes,8,1.579375,1.2958128662638755,0.241,3.824
roundness,3,1.531666666666667,1.2957986812087061,0.419,3.349
perpetuating,2,1.877,1.2930000000000001,0.584,3.17
salesman,4,1.3035,1.2900752885006361,0.195,3.44
hospitals,14,1.646142857142857,1.2881782184344601,0.203,4.524
oneself,13,1.2535384615384615,1.2879022666804767,0.152,4.304
rudely,12,1.63425,1.2868303517428654,0.371,5.432
decisions,7,1.7692857142857144,1.2867770052439118,0.469,4.235
ribby,2,1.355,1.286,0.069,2.641
gallows,5,1.7454,1.2859431713726701,0.501,3.721
besiegers,2,2.3485,1.2845,1.064,3.633
hugest,2,2.416,1.284,1.132,3.7
immune,6,2.1336666666666666,1.2838266584274098,1.275,4.966
keeluks,2,1.7895,1.2825000000000002,0.507,3.072
septimus,8,1.6012499999999998,1.2822821208688826,0.161,4.452
burlingame,4,2.42575,1.281618190999176,0.492,4.098
beaumont,4,1.96875,1.27948747063033,0.535,3.607
curried,3,1.8379999999999999,1.278471222463246,0.177,3.287
stateliness,3,1.7140000000000002,1.27828035526901,0.569,3.498
herberts,3,1.6289999999999998,1.278179173668543,0.628,3.433
dessert,16,1.9209375,1.274669293814576,0.017,4.227
cacti,3,1.5273333333333337,1.2745363427101202,0.58,3.329
louvre,9,1.468111111111111,1.2738623198275953,0.237,3.832
impeding,3,1.1403333333333334,1.273565162142174,0.102,2.934
cuffs,9,1.9180000000000001,1.2729102263885088,0.38,4.873
sells,7,1.6660000000000001,1.2716461772049645,0.381,3.897
durability,4,1.6397499999999998,1.271149160208982,0.507,3.718
epictetus,3,1.266,1.2708724037709949,0.231,3.056
laggard,2,1.7655,1.2705,0.495,3.036
reginald,11,0.7571818181818181,1.2704628231963213,0.01,4.456
studs,4,1.91325,1.2697063390800254,0.085,3.422
patronise,2,2.093,1.2690000000000001,0.824,3.362
dave,3,1.768666666666667,1.2682645185011245,0.022,2.995
falworth,4,1.2515,1.2682496796766796,0.098,3.228
arkwright,7,1.5295714285714286,1.268043020579671,0.113,3.936
proximate,2,1.935,1.268,0.667,3.203
shoat,2,1.634,1.267,0.367,2.901
ponds,4,1.92825,1.2666341964039973,0.14,3.181
usurping,2,2.121,1.2650000000000001,0.856,3.386
forster,2,1.4275,1.2634999999999998,0.164,2.691
ghuls,3,2.659333333333333,1.2629954693329488,1.305,4.345
turbine,7,1.7108571428571426,1.262539213373637,0.196,3.944
eames,25,1.5191199999999998,1.258703438304671,0.019,4.152
skinners,2,3.4155,1.2585000000000002,2.157,4.674
rowels,4,1.60925,1.257218631543456,0.008,3.534
mosquito,4,1.0162499999999999,1.25702592952572,0.118,3.185
abounded,3,1.8236666666666668,1.2555483087303154,0.129,3.13
auger,4,2.27825,1.2552285399480048,0.193,3.358
overdoing,2,2.3514999999999997,1.2545,1.097,3.606
revives,2,1.9825,1.2545,0.728,3.237
bows,21,1.2590476190476192,1.2534951697511918,0.042,5.93
scrubbed,5,1.4264000000000001,1.2533935694744887,0.517,3.828
jay,8,1.440125,1.251359504449061,0.049,4.051
eugene,5,1.6241999999999996,1.2509633727651661,0.006,2.973
keller,5,1.7777999999999998,1.2502029275281672,0.14,3.507
substitutes,5,1.6564,1.2499064925025392,0.221,3.569
vincey,4,1.1335,1.2493417266704894,0.079,3.265
moines,2,2.662,1.2489999999999999,1.413,3.911
favouring,2,1.636,1.2489999999999999,0.387,2.885
housework,3,2.268333333333333,1.2489852770238015,1.032,3.979
noakess,2,1.3085,1.2485,0.06,2.557
sob,21,1.5213333333333332,1.2483339500284572,0.177,5.383
encouragements,3,1.729,1.2481541037334558,0.385,3.392
voissart,4,1.45325,1.247678719663039,0.586,3.593
os,4,1.331,1.2475089178037966,0.128,3.202
socially,7,2.4354285714285715,1.2470621312443393,0.203,4.121
caliph,13,1.669153846153846,1.2467856423097847,0.171,4.418
stoking,2,2.4475,1.2465,1.201,3.694
froissart,5,2.142,1.2456545267448758,0.414,3.663
gowns,6,1.9500000000000002,1.2455135487019,0.395,3.54
clichy,3,1.6236666666666668,1.2436865450032906,0.682,3.381
sallied,2,1.7235,1.2435,0.48,2.967
malthus,2,1.8624999999999998,1.2434999999999998,0.619,3.106
stiffneck,2,2.8594999999999997,1.2434999999999998,1.616,4.103
gauchos,2,1.8355,1.2425,0.593,3.078
omnipotence,5,1.3668,1.2421427293189782,0.194,3.753
aristocracies,2,1.642,1.242,0.4,2.884
maximov,10,1.5754,1.240655085025649,0.212,3.65
ermine,4,1.84875,1.2394029560639268,0.374,3.763
aimlessness,2,1.736,1.2389999999999999,0.497,2.975
canvassed,2,1.9705000000000001,1.2375,0.733,3.208
conferences,5,1.5796,1.2361644874368458,0.535,3.756
versed,4,1.70875,1.2357957709508476,0.274,3.135
trysdale,6,1.405,1.2348188801061744,0.178,3.828
veneer,3,1.8616666666666666,1.2333991874310424,0.752,3.582
winfried,6,1.8864999999999996,1.2326073651681084,0.011,3.986
thames,7,1.4637142857142855,1.2320705817311552,0.434,4.284
abortionist,5,2.1466000000000003,1.231839859722034,0.0,3.608
berwin,31,1.6178387096774192,1.2314168104594827,0.055,4.632
scoff,3,1.9396666666666664,1.2310931005501662,0.251,3.151
jangling,3,1.9533333333333334,1.230550644585134,0.293,3.235
weena,7,1.471714285714286,1.230337667272771,0.324,3.867
portland,11,1.8307272727272725,1.2298541739800692,0.202,4.111
invoked,6,1.5810000000000002,1.2297304582712425,0.273,3.722
terrifying,11,1.9281818181818182,1.2297264158548598,0.12,4.859
natur,2,1.5075,1.2295,0.278,2.737
forasmuch,4,1.8605,1.2288589219271675,0.988,3.967
civilisation,8,1.8270000000000002,1.228681813977891,0.211,4.44
potting,2,2.0135,1.2285,0.785,3.242
attenuated,2,1.8435000000000001,1.2285,0.615,3.072
solids,2,1.516,1.228,0.288,2.744
danny,2,1.2605,1.2275,0.033,2.488
tuned,5,1.7450000000000003,1.227177574762512,0.64,3.846
pretences,2,1.9825,1.2265,0.756,3.209
lizards,3,2.017,1.2258844426236377,0.754,3.677
killers,2,1.3795,1.2255,0.154,2.605
gendarmes,3,1.7896666666666665,1.2254251869815997,0.057,2.686
newcastle,9,1.862111111111111,1.2248643865473838,0.362,4.639
lanyards,4,1.119,1.224773244319127,0.077,3.127
vacuum,6,1.8150000000000002,1.2247478652087265,0.537,4.012
skipping,8,0.98575,1.2245542811570258,0.0,4.057
ushering,2,1.368,1.224,0.144,2.592
scoville,2,1.5679999999999998,1.224,0.344,2.792
aurette,2,1.3139999999999998,1.224,0.09,2.538
rasta,6,2.0653333333333332,1.223824424589664,0.162,3.297
gorse,3,1.7590000000000001,1.2230813546121941,0.293,3.287
stipulated,4,1.1164999999999998,1.2228666116956501,0.015,3.147
gauss,5,1.2958,1.2214799875560796,0.134,3.654
treats,8,1.327125,1.2214638182832105,0.011,3.811
currants,3,1.3073333333333332,1.2213528928564785,0.405,3.034
landowner,6,1.2974999999999999,1.2211817705266756,0.095,3.823
chalons,2,1.6099999999999999,1.221,0.389,2.831
equestrian,2,2.7035,1.2205,1.483,3.924
toper,3,2.460666666666667,1.220124948064291,1.496,4.182
strays,2,1.6784999999999999,1.2174999999999998,0.461,2.896
conseil,12,1.9213333333333333,1.2146974474694878,0.407,5.202
hiccoughed,2,1.4865,1.2145,0.272,2.701
oniton,3,1.4433333333333334,1.2133711532567253,0.395,3.144
psychology,9,2.134333333333333,1.2133272893622358,0.431,4.558
massey,5,2.1588,1.2125454878065398,0.95,4.414
plows,2,1.5265,1.2125,0.314,2.739
utters,2,1.2145000000000001,1.2115,0.003,2.426
divides,5,1.6516000000000002,1.2112860273279802,0.256,3.845
alima,2,1.8385,1.2105,0.628,3.049
hah,3,2.0256666666666665,1.2101400286284596,0.939,3.714
swanny,2,1.8980000000000001,1.21,0.688,3.108
elegantly,2,1.5910000000000002,1.21,0.381,2.801
orioles,2,1.7249999999999999,1.208,0.517,2.933
rumors,8,1.9815,1.2076570291270614,0.316,4.088
ruth,34,1.558529411764706,1.2076458196033868,0.0,4.123
gramercy,4,0.959,1.207462835867009,0.105,3.037
hopefully,7,1.5315714285714286,1.2066521403267398,0.237,3.789
mutilated,2,1.8820000000000001,1.206,0.676,3.088
joyful,19,1.697684210526316,1.2058626985048626,0.16,4.501
dormann,2,1.2775,1.2055,0.072,2.483
creusa,7,1.3891428571428575,1.2050730183652096,0.159,3.922
obray,2,1.647,1.2049999999999998,0.442,2.852
salteena,6,1.441,1.2049327782079795,0.036,3.361
ikeys,4,1.5132500000000002,1.2041570443675527,0.177,3.079
perusing,3,2.5869999999999997,1.2039147256623564,0.941,3.787
stollivers,4,1.35875,1.2038223238916945,0.005,3.187
roland,14,1.4526428571428571,1.2037120329062367,0.044,3.196
tease,12,1.0875833333333336,1.2030736648499771,0.0,3.184
reels,2,2.071,1.203,0.868,3.274
abercrombie,2,1.649,1.202,0.447,2.851
ha,46,1.477,1.2015921141117947,0.0,4.95
subscribers,10,1.7222000000000002,1.2004147449944125,0.28,5.006
benevolently,2,1.349,1.2,0.149,2.549
beau,3,2.429,1.1994698829066115,0.827,3.713
dobbin,3,1.9656666666666667,1.1991711952659452,0.881,3.637
popery,3,2.1140000000000003,1.1989214597573383,0.437,3.169
invigorated,3,1.7486666666666668,1.1986971631270713,0.692,3.425
nullify,2,2.0665,1.1985000000000001,0.868,3.265
peeping,20,1.5146000000000002,1.1982937202539286,0.016,4.65
brujon,7,1.9114285714285715,1.1975985324381284,0.605,3.634
lessened,7,1.3012857142857144,1.1966428891200718,0.163,3.933
jangada,5,1.7234000000000003,1.196396188559626,0.506,3.928
lazarev,3,2.1366666666666667,1.1957219111854098,1.106,3.813
margot,6,1.195,1.1956628566057685,0.135,3.692
sadaijin,6,1.7649999999999997,1.1945519383155063,0.257,4.095
goody,11,1.5579999999999998,1.1941611738332933,0.058,3.735
gooses,3,1.7880000000000003,1.193870177196834,0.691,3.448
lawford,35,1.3886,1.1930868535022923,0.05,3.882
romanus,8,1.86975,1.192516849985777,0.425,3.372
farraguts,4,1.65625,1.1924031145128733,0.57,3.619
rockerbilts,5,2.2498,1.192196862938332,0.824,4.415
inducing,5,1.9236,1.1906276664012136,0.867,4.119
wilma,6,1.5698333333333332,1.1901091569917255,0.097,3.743
farewelled,2,2.868,1.19,1.678,4.058
guipuscoa,3,2.576,1.1899078395685385,1.396,4.205
manchester,8,1.58725,1.1890576888864561,0.338,4.23
enriching,2,1.362,1.189,0.173,2.551
veterinary,2,1.513,1.1889999999999998,0.324,2.702
mercurial,2,1.8559999999999999,1.1889999999999998,0.667,3.045
tutao,4,2.85725,1.1887885377559797,1.303,4.097
capitola,15,1.828266666666667,1.1881586575687422,0.475,3.663
reforms,8,2.158125,1.186575054252785,0.762,3.787
sisyphus,2,2.0345,1.1865,0.848,3.221
mole,11,1.8976363636363636,1.1854812810705173,0.034,3.454
popped,13,1.781076923076923,1.183896725065705,0.0,4.023
herriston,4,1.6945,1.1834484568412769,0.452,2.933
coo,13,1.5159230769230767,1.1833938457178321,0.0,3.702
justifiable,6,2.022333333333333,1.1828112932989587,0.831,4.462
abner,13,1.8892307692307695,1.1822247706269835,0.402,4.505
instructive,3,1.2546666666666666,1.1804446431559403,0.407,2.924
harmonized,4,1.23625,1.1804410986999734,0.222,3.248
boyle,2,2.477,1.18,1.297,3.657
faraday,3,2.1270000000000002,1.1799935028069717,0.874,3.708
musings,2,1.873,1.179,0.694,3.052
anomaly,3,2.0613333333333332,1.1789046705405075,1.017,3.709
nevada,8,1.54775,1.1788706194913845,0.758,4.572
insistence,6,1.5534999999999999,1.1786982579665304,0.571,3.986
clients,4,1.8565,1.1782471090565,0.476,3.712
omits,2,1.682,1.178,0.504,2.86
pomps,2,1.4324999999999999,1.1774999999999998,0.255,2.61
starlit,4,1.4500000000000002,1.1774996815286194,0.329,3.43
railways,11,1.8824545454545456,1.1772924533271911,0.634,5.119
toby,43,1.739697674418605,1.177098295373558,0.168,4.322
yellowed,2,1.475,1.177,0.298,2.652
coaches,5,1.1728,1.1759051662442852,0.019,3.353
pawkins,3,1.3296666666666666,1.1753437322285294,0.263,2.967
zawoiski,5,2.8893999999999997,1.1749686974553832,1.121,4.109
playfulness,3,1.4173333333333333,1.174878244282738,0.479,3.074
sociable,6,1.6548333333333334,1.1738613513623413,0.539,3.746
infuse,2,1.5405,1.1735,0.367,2.714
anchoring,2,1.367,1.173,0.194,2.54
cornplanter,3,2.2103333333333333,1.1729308968941388,1.168,3.849
littlepage,4,1.438,1.172602447549893,0.279,2.956
finnegan,2,1.2755,1.1724999999999999,0.103,2.448
sohn,3,1.811,1.1714455457539061,0.328,3.192
manoel,12,1.1413333333333333,1.171281088760887,0.036,4.014
chaperon,3,1.7766666666666666,1.1711673189125835,0.164,2.91
folia,2,3.222,1.1709999999999998,2.051,4.393
inequality,13,2.005307692307692,1.170976737903046,0.459,4.191
billie,4,2.48825,1.1707763183033726,0.76,4.064
verloc,5,1.6789999999999998,1.1706417043656012,0.0,3.541
harrington,27,1.312814814814815,1.1696044610619767,0.049,3.958
paquette,2,1.2685000000000002,1.1695,0.099,2.438
superfluity,4,1.9965000000000002,1.1694431367108022,1.007,3.962
phronsie,42,1.3065238095238094,1.1686982224455518,0.055,5.136
purses,6,1.6481666666666668,1.1684667184914692,0.353,3.212
jennie,5,1.6148,1.1675611161733677,0.2,3.266
abe,9,2.1957777777777783,1.1673942281639982,0.498,4.346
commentator,3,1.676,1.1667810420125961,0.279,3.135
curran,2,1.2925,1.1665,0.126,2.459
defending,12,1.4854166666666666,1.1660980131999577,0.358,4.653
welcoming,5,1.0003999999999997,1.1659603080722771,0.238,3.284
galileo,3,2.1630000000000003,1.1658115914103218,0.718,3.573
misadventure,2,1.4265,1.1655000000000002,0.261,2.592
weddings,8,1.2548750000000002,1.1653869998309574,0.087,3.608
vainglory,3,2.090666666666667,1.1648875005290806,1.055,3.718
confectioner,6,1.8923333333333332,1.1646091857595644,0.198,3.547
heeled,2,1.6165,1.1645,0.452,2.781
feat,13,1.5430000000000001,1.1641454442571235,0.062,3.606
ursula,15,1.476533333333333,1.1638854391887354,0.114,4.318
cohorts,3,1.113,1.1638422000712412,0.112,2.745
eighths,3,1.9063333333333334,1.1630352053523094,0.867,3.53
mynheer,4,0.9107500000000001,1.1629826686154872,0.047,2.886
alleged,10,1.5727,1.1623564040344943,0.274,3.738
inconsistently,2,1.528,1.161,0.367,2.689
raises,13,1.7195384615384615,1.1609541576707572,0.165,3.753
latchmere,4,2.20775,1.160738423375396,0.933,3.534
pratt,3,2.0643333333333334,1.1604655196179774,0.504,3.285
tally,3,1.3616666666666666,1.1603540647386708,0.148,2.925
ducas,4,0.9577499999999999,1.160259103605742,0.082,2.952
commissioned,3,1.7540000000000002,1.160056320471841,0.81,3.388
veils,3,1.5153333333333334,1.1595563327794338,0.424,3.121
mikes,4,1.8757499999999998,1.1592729132952257,0.201,3.361
huron,8,1.7425,1.159242856350644,0.155,3.528
refugee,2,1.8190000000000002,1.1590000000000003,0.66,2.978
carthoris,13,2.4835384615384615,1.158406173975832,0.53,3.916
unrecognizable,4,1.873,1.158177231687793,0.654,3.396
fillet,2,1.9460000000000002,1.158,0.788,3.104
giffard,2,1.561,1.158,0.403,2.719
peculiarly,26,2.3127692307692307,1.1577141040626404,0.516,4.191
poles,30,1.4739666666666666,1.1574799489504006,0.076,5.566
gospels,10,1.6920000000000002,1.157252349317123,0.324,4.179
concussion,5,1.6024,1.1572515024833625,0.238,3.008
cowan,2,2.269,1.157,1.112,3.426
smallpox,4,1.88525,1.1568896609011596,0.41,3.294
laura,34,1.6826176470588237,1.1566801890274516,0.041,3.915
teas,6,1.1596666666666666,1.1563539923204986,0.004,3.439
shipment,2,1.326,1.1560000000000001,0.17,2.482
rescuers,2,1.49,1.155,0.335,2.645
moor,29,1.70851724137931,1.1548618254620902,0.032,4.584
astounding,10,1.5075,1.1547266559666838,0.223,3.695
nardoo,2,2.4935,1.1545,1.339,3.648
endurable,3,1.9703333333333333,1.154210937779091,0.342,2.883
corns,3,1.6440000000000001,1.1534264894940929,0.327,3.136
monks,31,0.9951290322580645,1.1533495047577167,0.011,4.463
colloquial,3,1.4966666666666668,1.1532708075536966,0.642,3.127
mahomet,4,1.68225,1.152831595463969,0.253,3.367
counseled,2,1.809,1.152,0.657,2.961
